"","event_agediff","Estimate","lower","upper","disease_endpoint","model","N_total","N_male","N_female"
"3301",0.409225982878378,3.07916496149669,2.31992148875734,4.08688695115605,"Colon and rectum cancers","BMR",235839,107667,128172
"3302",0.442643218487912,2.99846597573284,2.27040793456258,3.95999241843722,"Colon and rectum cancers","BMR",235839,107667,128172
"3303",0.476060454097447,2.92458153903177,2.22435196606572,3.84524450668376,"Colon and rectum cancers","BMR",235839,107667,128172
"3304",0.509477689706981,2.8565317557268,2.18146069007538,3.74050914994651,"Colon and rectum cancers","BMR",235839,107667,128172
"3305",0.542894925316516,2.79353000329529,2.14145092718964,3.6441693714422,"Colon and rectum cancers","BMR",235839,107667,128172
"3306",0.57631216092605,2.73493562160685,2.10405774160597,3.55497508762514,"Colon and rectum cancers","BMR",235839,107667,128172
"3307",0.609729396535585,2.68022018815924,2.06903792136407,3.4719422891391,"Colon and rectum cancers","BMR",235839,107667,128172
"3308",0.643146632145119,2.62894296220393,2.03617068377856,3.39428376686774,"Colon and rectum cancers","BMR",235839,107667,128172
"3309",0.676563867754654,2.5807326687029,2.00525691572901,3.32136049753459,"Colon and rectum cancers","BMR",235839,107667,128172
"3310",0.709981103364188,2.53527375900974,1.97611769240436,3.25264687312366,"Colon and rectum cancers","BMR",235839,107667,128172
"3311",0.743398338973723,2.49229589210444,1.94859249956128,3.18770539001829,"Colon and rectum cancers","BMR",235839,107667,128172
"3312",0.776815574583257,2.45156577354139,1.92253739121168,3.12616793279201,"Colon and rectum cancers","BMR",235839,107667,128172
"3313",0.810232810192792,2.41288075005861,1.89782321813014,3.06772172370175,"Colon and rectum cancers","BMR",235839,107667,128172
"3314",0.843650045802326,2.37606372085228,1.87433397531335,3.01209863338604,"Colon and rectum cancers","BMR",235839,107667,128172
"3315",0.877067281411861,2.34095905967546,1.85196530689237,2.95906694292903,"Colon and rectum cancers","BMR",235839,107667,128172
"3316",0.910484517021395,2.30742931494718,1.83062316652735,2.90842492372558,"Colon and rectum cancers","BMR",235839,107667,128172
"3317",0.94390175263093,2.27535251536411,1.81022263057193,2.8599957716461,"Colon and rectum cancers","BMR",235839,107667,128172
"3318",0.977318988240464,2.24461995572574,1.79068685138887,2.81362357786591,"Colon and rectum cancers","BMR",235839,107667,128172
"3319",1.01073622385,2.21513436209911,1.77194613991336,2.76917008458968,"Colon and rectum cancers","BMR",235839,107667,128172
