endpoint_name,input_name,percentile,estimate,total_incidence,N_female,N_male,N_total
Myocardial infarction,Age + sex + biomarkers,88,0.011033988881254723,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,89,0.008167675986529625,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,90,0.012286068521134714,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,91,0.010075444650084786,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,92,0.012237159151784043,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,93,0.01082491449415717,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,94,0.011115104145902558,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,95,0.011877861113718224,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,96,0.010373849646459926,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,97,0.013922108222271003,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,98,0.021942319915169733,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,99,0.025374394887552186,0.004893685587637094,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,0,4.8444799683940333e-4,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,1,0.0011400846451810125,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,2,0.001140344219844957,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,3,8.370269151309622e-4,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,4,0.0014384568420957797,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,5,0.002371621477349034,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,6,0.0014937089810562114,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,7,0.0021127586627726976,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,8,0.0016061406961899965,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,9,0.002639270067092414,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,10,0.001743674960030045,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,11,0.0015128777401492697,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,12,0.001930480232782979,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,13,0.001225345680214341,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,14,0.0017869828403570163,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,15,0.002322486126221163,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,16,0.0029404051384191187,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,17,0.0016647391889871872,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,18,0.002311042958345587,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,19,0.001684787743727507,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,20,0.002450457187486169,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,21,0.0015373979117051903,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,22,0.002472507577427663,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,23,0.0014175341235937616,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,24,0.0012475934438518463,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,25,7.972428811334239e-4,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,26,0.0020642847873825008,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,27,0.0020251074097853987,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,28,0.001968586977287029,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,29,0.0018696671295307082,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,30,0.002566825690528747,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,31,0.003162351363589708,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,32,0.0018330988874819952,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,33,0.00216652491533946,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,34,0.002277624191124938,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,35,0.0024629230620369777,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,36,0.00236182893741064,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,37,0.002525858164001269,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,38,0.003318123485921149,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,39,0.002134480375090936,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,40,0.002886686531305881,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,41,0.0027884136256398685,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,42,0.001715200226663437,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,43,0.0030121362949695214,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,44,0.002544171106326351,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,45,0.0025062193558972323,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,46,0.0036978094391851325,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,47,0.002654554923956582,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,48,0.005357066410967643,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,49,0.0020548111178399905,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,50,0.0015686787710365413,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,51,0.002620407273507185,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,52,0.001668915320631889,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,53,0.0020500994515500405,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,54,0.0034522624081787046,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,55,0.0032798828240634486,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,56,0.0049416928509547,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,57,0.00504797696311035,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,58,0.004693628273107246,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,59,0.005181934432891077,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,60,0.004046288901964993,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,61,0.002550636834458259,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,62,0.0038668048926169887,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,63,0.0041539411082730385,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,64,0.0033605500144597168,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,65,0.003640709626378583,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,66,0.0016058773408318525,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,67,0.0023972912917267827,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,68,0.005638263697627753,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,69,0.0051720583848094415,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,70,0.005075377896892225,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,71,0.004290960487002429,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,72,0.005132389980295166,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,73,0.00364055147955453,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,74,0.005369701696962551,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,75,0.003729021794536799,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,76,0.005484013175084142,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,77,0.0063855612015171,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,78,0.006811539082116876,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,79,0.0029994310567419955,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,80,0.0037290990463357933,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,81,0.0029831292943049742,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,82,0.00653303638316864,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,83,0.006348039851020279,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,84,0.005277668828689529,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,85,0.006767799674406827,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,86,0.005205977091871583,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,87,0.010163993446918826,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,88,0.007598593685588064,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,89,0.007237208433259427,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,90,0.005532701438096932,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,91,0.012688557393888682,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,92,0.008568770113908834,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,93,0.012027351896249002,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,94,0.008720497764162689,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,95,0.010370120468589967,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,96,0.01311072197628163,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,97,0.01204694912727819,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,98,0.01446632660287101,0.0036529956073482572,283403,198275,481678
Ischemic stroke,Age + sex + biomarkers,99,0.018951362831866828,0.0036529956073482572,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,0,7.789149735582695e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,1,6.187623174855482e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,2,9.467933629272121e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,3,6.95017092520711e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,4,7.463367122482017e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,5,2.0610716340760632e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,6,1.3773407816123763e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,7,6.847741776691067e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,8,3.8786130359769796e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,9,1.5725938568732583e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,10,6.85637701222286e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,11,4.721595460329229e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,12,8.073443085185278e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,13,4.080201216916876e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,14,8.78143268514173e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,15,9.935808863330382e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,16,0.001041663851870351,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,17,8.431321484299943e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,18,8.399116074106728e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,19,7.911738406415297e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,20,7.642799939840648e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,21,2.2210404292045548e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,22,0.0011210529836479897,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,23,0.001040559319545874,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,24,6.296489733627142e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,25,8.792518613276467e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,26,4.327149042229565e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,27,4.68716118163177e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,28,6.64012220624306e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,29,0.0017930922727036882,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,30,0,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,31,6.737431190449479e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,32,0.0011001835230054114,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,33,8.822578923298385e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,34,0.001364819616294,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,35,6.744818665300348e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,36,2.1414363807375258e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,37,9.215435543547016e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,38,4.6420978932629675e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,39,4.752039692571151e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,40,0.001142960752362239,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,41,8.733363214688657e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,42,0,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,43,0.001344661145444291,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,44,7.168973411937978e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,45,9.209032301073671e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,46,6.738841773571876e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,47,9.19508382563022e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,48,0.0011373208680035113,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,49,4.7176633151346597e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,50,4.4590882085234846e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,51,6.823774699159746e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,52,6.704200950299346e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,53,0,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,54,6.601101138032378e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,55,0.0011978746921387387,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,56,7.014758040382762e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,57,7.155082342071399e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,58,2.3873343897107223e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,59,9.538864600318143e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,60,4.4728141573677666e-4,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,61,0.0015845024477455945,8.402695534686661e-4,283403,198275,481678
Intracerebral hemorrhage,Age + sex + biomarkers,62,6.847741776691075e-4,8.402695534686661e-4,283403,198275,481678
