cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
UK Biobank,Ischemic stroke,Age + sex + biomarkers,5,0.16466955914647102,0.18335323213371932,0.04278140393775235,0.09950322120766468,0.26720324305977394,23452,43,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,6,0.2112338674395308,0.1535050315538166,0.03915046989963913,0.07677152057270445,0.23023854253492873,23452,36,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,7,0.2694479063172625,0.23025754733071452,0.0479309042276492,0.13631470129808348,0.32420039336334555,23452,54,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,8,0.34643630841427125,0.40081869350161436,0.06318458360207359,0.27697918526339005,0.5246582017398387,23452,94,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,9,0.4667563507629183,0.4733071806242492,0.06863578301728047,0.33878351785967364,0.6078308433888248,23452,111,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,10,0.805175859562834,0.8997484115815918,0.09442938965806028,0.7146702087696947,1.084826614393489,23451,211,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,1,0.37852874747969667,0.3811535635562132,0.06162128046625979,0.2603780731611025,0.5019290539513239,21776,83,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,2,0.483280419529764,0.5556831228472989,0.07433846004542635,0.4099824184920935,0.7013838272025044,21775,121,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,3,0.5547615205104474,0.5051664753157262,0.07089694118094468,0.3662110239870201,0.6441219266444324,21775,110,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,4,0.6192948614519465,0.6750861079219359,0.08188769689738326,0.5145891712261325,0.8355830446177394,21775,147,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
UK Biobank,Depressive disorders,Age + sex + biomarkers,5,0.6833030341388887,0.6659012629162003,0.08133249023313036,0.5064925112863092,0.8253100145460914,21775,145,217751,1779,0.7698218044135519,0.8169882113055844,3,243663,171929,415592
